Period,OECD
31/01/2006,Recovery
28/02/2006,Recovery
31/03/2006,Recovery
28/04/2006,Recovery
31/05/2006,Overheat
30/06/2006,Overheat
31/07/2006,Overheat
31/08/2006,Overheat
29/09/2006,Overheat
31/10/2006,Overheat
30/11/2006,Overheat
29/12/2006,Overheat
31/01/2007,Overheat
28/02/2007,Overheat
30/03/2007,Overheat
30/04/2007,Overheat
31/05/2007,Overheat
29/06/2007,Overheat
31/07/2007,Recovery
31/08/2007,Recovery
28/09/2007,Overheat
31/10/2007,Overheat
30/11/2007,Overheat
31/12/2007,Recovery
31/01/2008,Stagflation
29/02/2008,Stagflation
31/03/2008,Stagflation
30/04/2008,Stagflation
30/05/2008,Reccesion
30/06/2008,Stagflation
31/07/2008,Stagflation
29/08/2008,Stagflation
30/09/2008,Stagflation
31/10/2008,Reccesion
28/11/2008,Reccesion
31/12/2008,Reccesion
30/01/2009,Reccesion
27/02/2009,Reccesion
31/03/2009,Reccesion
30/04/2009,Recovery
29/05/2009,Recovery
30/06/2009,Recovery
31/07/2009,Recovery
31/08/2009,Recovery
30/09/2009,Recovery
30/10/2009,Recovery
30/11/2009,Overheat
31/12/2009,Overheat
29/01/2010,Overheat
26/02/2010,Overheat
31/03/2010,Overheat
30/04/2010,Overheat
31/05/2010,Overheat
30/06/2010,Stagflation
30/07/2010,Stagflation
31/08/2010,Stagflation
30/09/2010,Stagflation
29/10/2010,Stagflation
30/11/2010,Stagflation
31/12/2010,Stagflation
31/01/2011,Overheat
28/02/2011,Overheat
31/03/2011,Overheat
29/04/2011,Overheat
31/05/2011,Overheat
30/06/2011,Overheat
29/07/2011,Overheat
31/08/2011,Stagflation
30/09/2011,Stagflation
31/10/2011,Stagflation
30/11/2011,Reccesion
30/12/2011,Reccesion
31/01/2012,Reccesion
29/02/2012,Reccesion
30/03/2012,Reccesion
30/04/2012,Reccesion
31/05/2012,Reccesion
29/06/2012,Reccesion
31/07/2012,Reccesion
31/08/2012,Recovery
28/09/2012,Overheat
31/10/2012,Overheat
30/11/2012,Recovery
31/12/2012,Overheat
31/01/2013,Overheat
28/02/2013,Overheat
29/03/2013,Overheat
30/04/2013,Overheat
31/05/2013,Overheat
28/06/2013,Overheat
31/07/2013,Recovery
30/08/2013,Recovery
30/09/2013,Overheat
31/10/2013,Overheat
29/11/2013,Overheat
31/12/2013,Stagflation
31/01/2014,Stagflation
28/02/2014,Reccesion
31/03/2014,Reccesion
30/04/2014,Reccesion
30/05/2014,Reccesion
30/06/2014,Reccesion
31/07/2014,Reccesion
29/08/2014,Reccesion
30/09/2014,Reccesion
31/10/2014,Reccesion
28/11/2014,Reccesion
31/12/2014,Reccesion
30/01/2015,Recovery
27/02/2015,Overheat
31/03/2015,Recovery
30/04/2015,Recovery
29/05/2015,Overheat
30/06/2015,Overheat
31/07/2015,Overheat
31/08/2015,Stagflation
30/09/2015,Stagflation
30/10/2015,Reccesion
30/11/2015,Reccesion
31/12/2015,Reccesion
29/01/2016,Reccesion
29/02/2016,Reccesion
31/03/2016,Reccesion
29/04/2016,Reccesion
31/05/2016,Stagflation
30/06/2016,Stagflation
29/07/2016,Stagflation
31/08/2016,Overheat
30/09/2016,Overheat
31/10/2016,Overheat
30/11/2016,Overheat
30/12/2016,Overheat
31/01/2017,Overheat
28/02/2017,Overheat
31/03/2017,Overheat
28/04/2017,Overheat
31/05/2017,Overheat
30/06/2017,Overheat
31/07/2017,Overheat
31/08/2017,Overheat
29/09/2017,Overheat
31/10/2017,Overheat
30/11/2017,Stagflation
29/12/2017,Stagflation
31/01/2018,Reccesion
28/02/2018,Stagflation
30/03/2018,Reccesion
30/04/2018,Reccesion
31/05/2018,Reccesion
29/06/2018,Reccesion
31/07/2018,Reccesion
31/08/2018,Reccesion
28/09/2018,Reccesion
31/10/2018,Reccesion
30/11/2018,Reccesion
31/12/2018,Reccesion
31/01/2019,Reccesion
28/02/2019,Reccesion
29/03/2019,Reccesion
30/04/2019,Reccesion
31/05/2019,Reccesion
28/06/2019,Reccesion
31/07/2019,Reccesion
30/08/2019,Reccesion
30/09/2019,Reccesion
31/10/2019,Reccesion
29/11/2019,Reccesion
31/12/2019,Recovery
31/01/2020,Recovery
28/02/2020,Reccesion
31/03/2020,Reccesion
30/04/2020,Reccesion
29/05/2020,Recovery
30/06/2020,Recovery
31/07/2020,Recovery
31/08/2020,Recovery
30/09/2020,Recovery
30/10/2020,Recovery
30/11/2020,Recovery
31/12/2020,Recovery
29/01/2021,Recovery
26/02/2021,Recovery
31/03/2021,Recovery
30/04/2021,Overheat
31/05/2021,Overheat
30/06/2021,Stagflation
30/07/2021,Stagflation
31/08/2021,Stagflation
30/09/2021,Stagflation
29/10/2021,Stagflation
30/11/2021,Stagflation
31/12/2021,Stagflation
31/01/2022,Stagflation
28/02/2022,Stagflation
31/03/2022,Reccesion
29/04/2022,Reccesion
31/05/2022,Reccesion
30/06/2022,Reccesion
29/07/2022,Reccesion
31/08/2022,Reccesion
30/09/2022,Reccesion
31/10/2022,Reccesion
30/11/2022,Recovery
30/12/2022,Recovery
31/01/2023,Overheat
28/02/2023,Recovery
31/03/2023,Recovery
28/04/2023,Recovery
31/05/2023,Recovery
30/06/2023,Recovery
31/07/2023,Overheat
31/08/2023,Overheat
29/09/2023,Overheat
31/10/2023,Recovery
30/11/2023,Recovery
29/12/2023,Recovery
31/01/2024,Reccesion
29/02/2024,Stagflation
29/03/2024,Reccesion
30/04/2024,Stagflation
31/05/2024,Reccesion
28/06/2024,Reccesion
31/07/2024,Reccesion
30/08/2024,Reccesion
30/09/2024,Reccesion
31/10/2024,Reccesion
29/11/2024,Reccesion
31/12/2024,Recovery
31/01/2025,Overheat